B835,Lake Fairfax Park     
C192,Cub Run RECenter      
D704,Arrowbrook Park        
M274,Ellanor C. Lawrence   
M282,Frying Pan Park       
M381,Sully Historic Site   
M556,Dranesville Tavern    
R003,Armstrong Elementary School             
R011,Brookfield Elementary 
R024,Clearview Elementary School             
R029,Crossfield Elementary School            
R039,Floris Elementary     
R041,Forest Edge Elementary School           
R042,Forestville Elementary School           
R045,Fox Mill Elementary School              
R054,Greenbriar East Elementary              
R055,Greenbriar West Elementary              
R065,Hutchinson Elementary School            
R072,Lake Anne Elementary  
R076,Lees Corner Elementary
R087,Navy Elementary       
R090,Oak Hill Elementary School              
R097,Poplar Tree Elementary
R107,Spring Hill Elementary School           
R111,Sunrise Valley Elementary School        
R113,Terraset Elementary   
R134,Mcnair Elementary School                
R140,Coates Elementary School                
R200,Carson Middle School  
R203,Franklin Middle School
R206,Herndon Middle School 
R208,Hughes Middle School  
R216,Rocky Run Middle School                 
R302,Chantilly High School 
R309,Herndon High School   
R323,South Lakes High School                 
R326,Westfield High School 
R408,Dulles Jazzercise Center                
R410,Fairfax Fencers       
R440,Martial Arts Center   
R444,Mountain Kim Chantilly
R457,Reston Conservatory   
R466,Vale United Methodist Church            
R478,Woodys Golf           
R480,Northern Virginia  Wushu Academy
R508,Weber's Feed Store    
R516,Lady Of America       
R527,Ballet Academy        
R534,One Spirit Martial Arts                 
R537,Worldgate Sport & Health Club           
R548,Sterner's Tae Kwon Do Academy           
R550,Highkicks Taekwondo   
R558,Fairfax County Criminal Justice Academy 
R583,Wholesome Campus
R588,Bach to Rock Herndon
R589,Kelly Square
R591,Science Cosmos
